Accuracy,Val_Accuracy,Loss,Val_loss
0.62747252,0.836397052,0.772684932,0.41418016
0.841978014,0.867647052,0.397606313,0.328390002
0.91736263,0.917279422,0.213452384,0.225036278
0.931648374,0.814338207,0.179570943,0.663383305
0.952307701,0.889705896,0.126052424,0.300255388
0.965274751,0.871323526,0.088956073,0.380265504
0.976483524,0.9375,0.064650521,0.180444896
0.97010988,0.946691155,0.082564585,0.165392518
0.979120851,0.946691155,0.063168973,0.130308226
0.986813188,0.972426474,0.036562465,0.083958194
0.984615386,0.959558845,0.046234164,0.093992516
0.987912059,0.996323526,0.037062123,0.014366536
0.979560435,0.98713237,0.056957915,0.027294865
0.988131881,0.98713237,0.032568663,0.033396345
0.992087901,0.98713237,0.019426644,0.036618683
0.988131881,0.977941155,0.029788878,0.065524958
0.990549445,0.988970578,0.027927855,0.025655732
0.989450574,0.990808845,0.028689189,0.030574266
0.993186831,0.996323526,0.02072373,0.012192688
0.990769207,0.963235319,0.030700959,0.084874786
0.985934079,0.961397052,0.039799485,0.102022238
0.993406594,0.998161793,0.019595476,0.00958499
0.990109861,0.983455896,0.03158202,0.043043911
0.993406594,0.98161763,0.018969083,0.038631517
0.999560416,0.970588207,0.003040799,0.069991656
0.996703267,0.990808845,0.009392638,0.025754575
0.992087901,0.990808845,0.026001012,0.035607863
0.983516455,0.943014681,0.049957816,0.239938617
0.994945049,0.994485319,0.016444661,0.017712839
0.999560416,1,0.002394527,0.000356747
0.995164812,0.983455896,0.019654963,0.033133525
0.993846178,0.998161793,0.017315909,0.006099242
0.994945049,0.983455896,0.018130863,0.054994259
0.995604396,0.998161793,0.016415074,0.002390705
0.98307693,0.992647052,0.057059895,0.019365644
0.993186831,0.996323526,0.019626873,0.009053688
0.987912059,0.990808845,0.032058191,0.021091903
0.992087901,0.98161763,0.020353794,0.04663302
0.99604398,0.972426474,0.012792384,0.069240883
0.994725287,0.985294104,0.012912771,0.046837758
0.998461545,0.988970578,0.005250177,0.021531491
0.998901069,0.983455896,0.003060428,0.101623096
0.999120891,0.998161793,0.001968278,0.002509692
0.994945049,0.977941155,0.014538527,0.064161047
0.995384634,0.996323526,0.01604829,0.006994652
0.990329683,0.957720578,0.030320367,0.125072435
0.997362614,0.994485319,0.007648915,0.008920915
0.991648376,0.998161793,0.024617152,0.004033793
0.995384634,0.996323526,0.013356496,0.026340276
0.99604398,0.994485319,0.016049027,0.008800539
